epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85009,2.22066,2.75573,2.18324,0.00216,0.33228,0.0016,0.00043,3.64045,inf,26.7347,0.0707317,0.00325203,0.00325203
2,12.8069,2.04837,2.3848,2.09696,0.0082,0.09921,0.00242,0.00071,3.40887,inf,8.38794,0.0406665,0.00652017,0.00652017
3,17.5975,2.02491,2.33787,2.08985,0.01521,0.18268,0.01057,0.0034,2.55384,65.1973,3.44283,0.0105353,0.00972231,0.00972231
4,22.9507,1.9575,2.2472,2.04241,0.06144,0.10394,0.02877,0.00967,2.91661,11.4984,3.63001,0.009703,0.009703,0.009703
5,28.1691,1.94264,2.19006,2.04148,0.1244,0.2063,0.07889,0.02748,2.33175,7.40613,2.62555,0.009604,0.009604,0.009604
6,32.961,1.92624,2.1853,2.0024,0.16244,0.1748,0.08956,0.03192,2.38153,3.8063,2.53551,0.009505,0.009505,0.009505
7,37.7377,1.89253,2.10042,1.95948,0.26439,0.24567,0.17979,0.0651,2.07394,3.37266,2.23165,0.009406,0.009406,0.009406
8,42.5018,1.81633,2.01429,1.90376,0.29958,0.29636,0.24548,0.0921,2.0984,2.91717,2.23728,0.009307,0.009307,0.009307
9,47.318,1.81835,1.99488,1.89911,0.52313,0.44567,0.45466,0.17499,2.05653,2.09868,2.17143,0.009208,0.009208,0.009208
10,51.9989,1.80614,1.93776,1.88759,0.39891,0.43622,0.36952,0.12721,2.12793,2.44153,2.27088,0.009109,0.009109,0.009109
11,56.8945,1.78378,1.91677,1.87693,0.35095,0.28661,0.26561,0.09386,2.11195,2.52941,2.21211,0.00901,0.00901,0.00901
12,62.174,1.76061,1.89986,1.86323,0.4865,0.47087,0.46503,0.19375,1.88243,1.87505,2.02831,0.008911,0.008911,0.008911
13,66.9071,1.73706,1.86573,1.84992,0.26015,0.34331,0.21198,0.08313,1.96088,2.84219,2.13707,0.008812,0.008812,0.008812
14,71.7888,1.75954,1.87876,1.84031,0.46809,0.45318,0.43074,0.17532,1.88957,2.72633,2.00027,0.008713,0.008713,0.008713
15,76.4133,1.73454,1.88705,1.85278,0.46691,0.47717,0.43946,0.17231,1.8403,2.01667,2.02367,0.008614,0.008614,0.008614
16,81.1888,1.72646,1.83731,1.83947,0.39675,0.27559,0.26972,0.0893,2.14479,2.60541,2.41777,0.008515,0.008515,0.008515
17,85.8077,1.73954,1.81556,1.8374,0.44347,0.26299,0.2503,0.10279,2.07928,2.9417,2.18184,0.008416,0.008416,0.008416
18,90.4367,1.71078,1.8304,1.81721,0.50052,0.53386,0.52676,0.19381,1.79753,2.10357,1.91267,0.008317,0.008317,0.008317
19,95.1319,1.69364,1.79288,1.78307,0.59721,0.61102,0.61174,0.24213,1.88532,1.75022,1.9447,0.008218,0.008218,0.008218
20,100.079,1.69183,1.76693,1.8005,0.49097,0.46142,0.4285,0.18385,1.83087,2.09428,1.98966,0.008119,0.008119,0.008119
21,104.99,1.70087,1.77438,1.81056,0.55077,0.49449,0.49707,0.2005,1.88813,2.08046,2.00538,0.00802,0.00802,0.00802
22,110.448,1.71563,1.79832,1.82102,0.36527,0.43682,0.35355,0.14337,1.89749,1.9859,2.02181,0.007921,0.007921,0.007921
23,115.674,1.66949,1.73893,1.77168,0.5216,0.5622,0.52926,0.22512,1.79488,2.01424,1.94879,0.007822,0.007822,0.007822
24,120.337,1.69015,1.76847,1.79726,0.4004,0.32075,0.29523,0.12627,2.12196,2.4771,2.34113,0.007723,0.007723,0.007723
25,125.007,1.66355,1.69235,1.77153,0.56076,0.47559,0.51712,0.23898,1.81759,1.84952,1.86623,0.007624,0.007624,0.007624
26,130.216,1.66129,1.70632,1.76502,0.62785,0.54996,0.61293,0.26278,1.77441,1.62791,1.86832,0.007525,0.007525,0.007525
27,134.858,1.65388,1.68646,1.75432,0.61129,0.53858,0.53884,0.23227,1.76896,2.16419,1.91383,0.007426,0.007426,0.007426
28,139.896,1.6221,1.64754,1.73023,0.53804,0.53923,0.51324,0.22161,1.78473,1.96049,1.90886,0.007327,0.007327,0.007327
29,144.521,1.6382,1.66072,1.75623,0.613,0.55276,0.58745,0.27175,1.7884,1.59716,1.93205,0.007228,0.007228,0.007228
30,149.177,1.64999,1.67105,1.75309,0.64006,0.46929,0.54276,0.2386,1.78539,1.73466,1.90151,0.007129,0.007129,0.007129
31,153.836,1.63506,1.64811,1.76021,0.64383,0.5937,0.65104,0.29343,1.74959,1.50726,1.88903,0.00703,0.00703,0.00703
32,158.582,1.61121,1.62787,1.72685,0.6006,0.58019,0.60433,0.2737,1.80695,1.65656,1.93314,0.006931,0.006931,0.006931
33,163.786,1.63905,1.65776,1.76727,0.59674,0.54016,0.58644,0.24497,1.87724,1.75744,1.98625,0.006832,0.006832,0.006832
34,168.484,1.6134,1.60735,1.74905,0.66727,0.59213,0.64399,0.29139,1.76435,1.58422,1.873,0.006733,0.006733,0.006733
35,173.868,1.60667,1.57626,1.72317,0.6945,0.62362,0.66232,0.3078,1.7354,1.58813,1.84671,0.006634,0.006634,0.006634
36,178.571,1.59209,1.60267,1.70892,0.70761,0.57795,0.64649,0.30062,1.75111,1.62016,1.83857,0.006535,0.006535,0.006535
37,183.385,1.59752,1.56833,1.72079,0.68531,0.6173,0.6595,0.30669,1.79132,1.49731,1.88266,0.006436,0.006436,0.006436
38,188.054,1.60554,1.595,1.74195,0.61419,0.51339,0.54915,0.25083,1.78819,1.81859,1.90771,0.006337,0.006337,0.006337
39,193.826,1.59951,1.58505,1.70724,0.65271,0.63937,0.65305,0.29739,1.7557,1.62959,1.83838,0.006238,0.006238,0.006238
40,198.797,1.59571,1.56474,1.70162,0.6416,0.61732,0.65996,0.30607,1.76243,1.5159,1.85092,0.006139,0.006139,0.006139
41,203.439,1.58097,1.55857,1.72097,0.65559,0.61453,0.65583,0.30787,1.77045,1.54366,1.89056,0.00604,0.00604,0.00604
42,208.785,1.5834,1.55952,1.70484,0.67259,0.65669,0.70501,0.34082,1.73246,1.42252,1.84536,0.005941,0.005941,0.005941
43,213.916,1.5987,1.53545,1.71455,0.69154,0.64252,0.69233,0.33735,1.70231,1.53241,1.85129,0.005842,0.005842,0.005842
44,219.09,1.5964,1.57177,1.72043,0.59394,0.55748,0.56826,0.24515,1.88593,1.62937,1.99159,0.005743,0.005743,0.005743
45,223.754,1.57156,1.53719,1.70338,0.71198,0.64621,0.70663,0.32979,1.71626,1.48096,1.80719,0.005644,0.005644,0.005644
46,228.384,1.59481,1.51067,1.68854,0.70436,0.6716,0.70705,0.34407,1.68176,1.44783,1.74009,0.005545,0.005545,0.005545
47,233.045,1.57621,1.53507,1.68705,0.64891,0.62362,0.63399,0.29003,1.76059,1.59745,1.88811,0.005446,0.005446,0.005446
48,237.639,1.57575,1.5113,1.69522,0.67439,0.65197,0.68752,0.33793,1.68572,1.44315,1.79174,0.005347,0.005347,0.005347
49,242.233,1.58032,1.53094,1.69437,0.72927,0.65512,0.72454,0.35138,1.67438,1.34993,1.7664,0.005248,0.005248,0.005248
50,246.9,1.53981,1.48869,1.6661,0.6947,0.60917,0.6808,0.32334,1.7129,1.65465,1.78849,0.005149,0.005149,0.005149
51,251.506,1.53816,1.50184,1.68361,0.67712,0.67374,0.71356,0.35493,1.64818,1.36044,1.78342,0.00505,0.00505,0.00505
52,256.274,1.56408,1.48163,1.69226,0.67247,0.64094,0.67485,0.33497,1.69264,1.43627,1.80026,0.004951,0.004951,0.004951
53,260.864,1.55163,1.46504,1.69551,0.72225,0.68504,0.73296,0.35597,1.68325,1.35638,1.78781,0.004852,0.004852,0.004852
54,265.509,1.5381,1.46181,1.6636,0.68213,0.66912,0.71186,0.34578,1.72069,1.43345,1.84125,0.004753,0.004753,0.004753
55,270.115,1.53632,1.47925,1.67178,0.63472,0.6,0.61101,0.28301,1.77568,1.55234,1.92494,0.004654,0.004654,0.004654
56,274.699,1.52403,1.4639,1.66712,0.62901,0.65039,0.64976,0.30366,1.79817,1.4341,1.89558,0.004555,0.004555,0.004555
57,279.308,1.54597,1.4634,1.66767,0.6875,0.66929,0.70335,0.33513,1.77939,1.44527,1.87507,0.004456,0.004456,0.004456
58,284.075,1.54327,1.46521,1.66968,0.74076,0.68819,0.73528,0.36742,1.71243,1.27496,1.80453,0.004357,0.004357,0.004357
59,288.765,1.55889,1.47092,1.69226,0.68388,0.65512,0.7105,0.35217,1.7271,1.32514,1.8484,0.004258,0.004258,0.004258
60,293.466,1.52607,1.44248,1.65732,0.6905,0.66614,0.71052,0.34355,1.7576,1.33593,1.8535,0.004159,0.004159,0.004159
61,298.091,1.51023,1.41412,1.63812,0.73196,0.65039,0.71603,0.34963,1.72485,1.36702,1.81674,0.00406,0.00406,0.00406
62,302.727,1.524,1.42139,1.64696,0.75066,0.70643,0.74912,0.37795,1.70031,1.30415,1.82025,0.003961,0.003961,0.003961
63,307.384,1.52255,1.39786,1.636,0.75741,0.68976,0.75789,0.38323,1.71135,1.29335,1.79021,0.003862,0.003862,0.003862
64,312.102,1.51678,1.38922,1.64544,0.70812,0.70298,0.75083,0.36415,1.71648,1.45256,1.84061,0.003763,0.003763,0.003763
65,316.845,1.49616,1.39208,1.62611,0.74523,0.68177,0.74429,0.37498,1.71107,1.29251,1.80866,0.003664,0.003664,0.003664
66,321.446,1.49533,1.36566,1.62976,0.72829,0.70913,0.75358,0.37539,1.71762,1.29974,1.82679,0.003565,0.003565,0.003565
67,326.326,1.49763,1.39307,1.6273,0.75359,0.72726,0.77631,0.39738,1.67877,1.27661,1.76938,0.003466,0.003466,0.003466
68,331.309,1.50502,1.39255,1.63718,0.7279,0.71339,0.74976,0.37245,1.72561,1.30912,1.8345,0.003367,0.003367,0.003367
69,335.937,1.49041,1.36418,1.62025,0.76554,0.689,0.7601,0.37177,1.70353,1.30867,1.8092,0.003268,0.003268,0.003268
70,340.756,1.48226,1.34178,1.62575,0.7221,0.69764,0.73326,0.36122,1.71102,1.42539,1.83016,0.003169,0.003169,0.003169
71,345.574,1.47965,1.3371,1.61289,0.78311,0.70709,0.77372,0.39147,1.72442,1.21967,1.82894,0.00307,0.00307,0.00307
72,350.233,1.48505,1.35226,1.60865,0.77416,0.68031,0.75677,0.37662,1.69192,1.26988,1.8353,0.002971,0.002971,0.002971
73,354.987,1.4908,1.34831,1.60774,0.76571,0.6588,0.72827,0.36343,1.68418,1.36306,1.77723,0.002872,0.002872,0.002872
74,359.643,1.46948,1.32634,1.61874,0.77159,0.71654,0.78144,0.40146,1.67766,1.20357,1.79034,0.002773,0.002773,0.002773
75,364.252,1.48693,1.32869,1.61703,0.78789,0.6961,0.77812,0.39767,1.66803,1.24297,1.76194,0.002674,0.002674,0.002674
76,369.079,1.46584,1.30908,1.6086,0.77778,0.70709,0.77156,0.39294,1.6897,1.26385,1.79706,0.002575,0.002575,0.002575
77,374.79,1.4744,1.3075,1.61031,0.74857,0.7361,0.76847,0.38533,1.74168,1.31984,1.84228,0.002476,0.002476,0.002476
78,379.619,1.47144,1.30613,1.60852,0.73925,0.70236,0.75898,0.3899,1.7142,1.2923,1.82061,0.002377,0.002377,0.002377
79,384.617,1.4566,1.28336,1.59143,0.74876,0.72283,0.7892,0.40243,1.67613,1.18952,1.7585,0.002278,0.002278,0.002278
80,389.261,1.46601,1.29832,1.60127,0.75382,0.69291,0.75697,0.37906,1.71231,1.33728,1.81086,0.002179,0.002179,0.002179
81,393.981,1.46362,1.27482,1.60585,0.75962,0.73543,0.78764,0.39704,1.70797,1.26009,1.79564,0.00208,0.00208,0.00208
82,398.634,1.46766,1.29574,1.61326,0.74854,0.71496,0.76876,0.38016,1.74579,1.29831,1.83556,0.001981,0.001981,0.001981
83,403.366,1.44924,1.27164,1.59715,0.74757,0.70709,0.75504,0.37455,1.72074,1.34793,1.82564,0.001882,0.001882,0.001882
84,408.043,1.43882,1.24249,1.57832,0.75328,0.70199,0.76921,0.39293,1.72303,1.27023,1.8128,0.001783,0.001783,0.001783
85,412.653,1.43576,1.25945,1.58303,0.76191,0.72571,0.78277,0.39509,1.72358,1.21666,1.80891,0.001684,0.001684,0.001684
86,417.327,1.44001,1.24816,1.58671,0.76324,0.70079,0.77971,0.39724,1.74232,1.18594,1.81646,0.001585,0.001585,0.001585
87,422.041,1.44227,1.23863,1.57937,0.78571,0.73228,0.79027,0.41053,1.7088,1.18673,1.77894,0.001486,0.001486,0.001486
88,426.918,1.43655,1.24425,1.57649,0.79458,0.7066,0.78302,0.40733,1.69256,1.19661,1.76957,0.001387,0.001387,0.001387
89,431.726,1.43853,1.24393,1.57539,0.78822,0.69747,0.78264,0.40254,1.68982,1.1873,1.77063,0.001288,0.001288,0.001288
90,436.379,1.4436,1.25823,1.58677,0.773,0.72397,0.77847,0.39925,1.71204,1.20507,1.8029,0.001189,0.001189,0.001189
91,441.739,1.38713,1.104,1.59025,0.73426,0.69619,0.7372,0.3666,1.78232,1.28459,1.90475,0.00109,0.00109,0.00109
92,446.37,1.34203,1.03537,1.55464,0.74417,0.74173,0.78107,0.40702,1.69146,1.20381,1.78536,0.000991,0.000991,0.000991
93,450.951,1.33648,0.99564,1.55562,0.75845,0.74667,0.78693,0.40566,1.71718,1.19034,1.81438,0.000892,0.000892,0.000892
94,455.478,1.3457,0.98249,1.56939,0.78616,0.73386,0.79424,0.40922,1.70596,1.14473,1.81936,0.000793,0.000793,0.000793
95,460.051,1.33277,0.98101,1.56082,0.73783,0.76693,0.79138,0.4149,1.67117,1.15401,1.76461,0.000694,0.000694,0.000694
96,464.672,1.3544,0.98698,1.57028,0.77764,0.73701,0.7929,0.41036,1.6967,1.17824,1.81048,0.000595,0.000595,0.000595
97,469.333,1.31473,0.97309,1.54545,0.74742,0.74961,0.79367,0.41498,1.68345,1.17918,1.76977,0.000496,0.000496,0.000496
98,474.033,1.32587,0.96911,1.54357,0.77926,0.74173,0.80035,0.42109,1.67204,1.14596,1.77998,0.000397,0.000397,0.000397
99,478.649,1.34123,0.96582,1.55569,0.76581,0.75185,0.80375,0.42335,1.67792,1.13991,1.77516,0.000298,0.000298,0.000298
100,483.272,1.3096,0.94796,1.53162,0.75561,0.76444,0.80466,0.42156,1.66585,1.13592,1.77023,0.000199,0.000199,0.000199
